PDS,ANZ_S,RTS_E24110.0,RTS_E24110.1,RTS_E24110.3,RTS_E24110.3.MW_A_PR,RTS_E24110.3.MW_M_PR,RTS_E24110.3.MW_A_PW,RTS_E24110.3.MW_M_PW,RTS_E24110.4,RTS_E24110.4.MW_A_PR,RTS_E24110.4.MW_M_PR,RTS_E24110.4.MW_A_PW,RTS_E24110.4.MW_M_PW,RTS_E24110.9,RTS_E24100.0,RTS_E24100.1,RTS_E24100.3,RTS_E24100.3.MW_A_PR,RTS_E24100.3.MW_M_PR,RTS_E24100.3.MW_A_PW,RTS_E24100.3.MW_M_PW,RTS_E24100.4,RTS_E24100.4.MW_A_PR,RTS_E24100.4.MW_M_PR,RTS_E24100.4.MW_A_PW,RTS_E24100.4.MW_M_PW,RTS_E24100.9,RTS_E24090.0,RTS_E24090.1,RTS_E24090.3,RTS_E24090.3.MW_A_PR,RTS_E24090.3.MW_M_PR,RTS_E24090.3.MW_A_PW,RTS_E24090.3.MW_M_PW,RTS_E24090.4,RTS_E24090.4.MW_A_PR,RTS_E24090.4.MW_M_PR,RTS_E24090.4.MW_A_PW,RTS_E24090.4.MW_M_PW,RTS_E24090.9,RTS_E24080.0,RTS_E24080.1,RTS_E24080.3,RTS_E24080.3.MW_A_PR,RTS_E24080.3.MW_M_PR,RTS_E24080.3.MW_A_PW,RTS_E24080.3.MW_M_PW,RTS_E24080.4,RTS_E24080.4.MW_A_PR,RTS_E24080.4.MW_M_PR,RTS_E24080.4.MW_A_PW,RTS_E24080.4.MW_M_PW,RTS_E24080.9,RTS_E24070.0,RTS_E24070.1,RTS_E24070.3,RTS_E24070.3.MW_A_PR,RTS_E24070.3.MW_M_PR,RTS_E24070.3.MW_A_PW,RTS_E24070.3.MW_M_PW,RTS_E24070.4,RTS_E24070.4.MW_A_PR,RTS_E24070.4.MW_M_PR,RTS_E24070.4.MW_A_PW,RTS_E24070.4.MW_M_PW,RTS_E24070.9,RTS_E24060.0,RTS_E24060.1,RTS_E24060.3,RTS_E24060.3.MW_A_PR,RTS_E24060.3.MW_M_PR,RTS_E24060.3.MW_A_PW,RTS_E24060.3.MW_M_PW,RTS_E24060.4,RTS_E24060.4.MW_A_PR,RTS_E24060.4.MW_M_PR,RTS_E24060.4.MW_A_PW,RTS_E24060.4.MW_M_PW,RTS_E24060.9,RTS_E24050.0,RTS_E24050.1,RTS_E24050.3,RTS_E24050.3.MW_A_PR,RTS_E24050.3.MW_M_PR,RTS_E24050.3.MW_A_PW,RTS_E24050.3.MW_M_PW,RTS_E24050.4,RTS_E24050.4.MW_A_PR,RTS_E24050.4.MW_M_PR,RTS_E24050.4.MW_A_PW,RTS_E24050.4.MW_M_PW,RTS_E24050.9,RTS_E24040.0,RTS_E24040.1,RTS_E24040.3,RTS_E24040.3.MW_A_PR,RTS_E24040.3.MW_M_PR,RTS_E24040.3.MW_A_PW,RTS_E24040.3.MW_M_PW,RTS_E24040.4,RTS_E24040.4.MW_A_PR,RTS_E24040.4.MW_M_PR,RTS_E24040.4.MW_A_PW,RTS_E24040.4.MW_M_PW,RTS_E24040.9,RTS_E24030.0,RTS_E24030.1,RTS_E24030.3,RTS_E24030.3.MW_A_PR,RTS_E24030.3.MW_M_PR,RTS_E24030.3.MW_A_PW,RTS_E24030.3.MW_M_PW,RTS_E24030.4,RTS_E24030.4.MW_A_PR,RTS_E24030.4.MW_M_PR,RTS_E24030.4.MW_A_PW,RTS_E24030.4.MW_M_PW,RTS_E24030.9,RTS_E24020.0,RTS_E24020.1,RTS_E24020.3,RTS_E24020.3.MW_A_PR,RTS_E24020.3.MW_M_PR,RTS_E24020.3.MW_A_PW,RTS_E24020.3.MW_M_PW,RTS_E24020.4,RTS_E24020.4.MW_A_PR,RTS_E24020.4.MW_M_PR,RTS_E24020.4.MW_A_PW,RTS_E24020.4.MW_M_PW,RTS_E24020.9,RTS_E24010.0,RTS_E24010.1,RTS_E24010.3,RTS_E24010.3.MW_A_PR,RTS_E24010.3.MW_M_PR,RTS_E24010.3.MW_A_PW,RTS_E24010.3.MW_M_PW,RTS_E24010.4,RTS_E24010.4.MW_A_PR,RTS_E24010.4.MW_M_PR,RTS_E24010.4.MW_A_PW,RTS_E24010.4.MW_M_PW,RTS_E24010.9
1661822,73,53,,,,,,,20,"1,1",33,",21981","6,594288",,8,,14,1,30,",225251","6,757532",51,"3,039216","112,941176",",579567","21,770977",,1,,1,2,150,",538462","40,384615",71,"11,267606","802,183099","2,180804","156,0352",,71,2,,,,,,,,,,,,64,,,,,,,9,1,60,",170195","10,211694",,,,12,"6,916667","132,083333","1,684691","32,279111",61,"10,622951","221,065574","2,088391","43,773028",,,37,18,"17,888889","834,444444","3,578906","165,230889",18,"28,111111","1497,5","5,31143","285,528099",,22,11,22,"3,863636","117,954545",",760444","23,162539",18,"5,388889","170,833333","1,125345","35,385585",,64,9,,,,,,,,,,,,22,51,,,,,,,,,,,,,24,42,"3,952381","119,047619",",795017","23,931797",7,"5,285714","164,285714","1,049104","32,615985",
1661823,605,507,,,,,,,98,"1,132653","18,571429",",228367","3,765086",,183,14,19,"1,631579","32,105263",",330935","6,616771",389,"4,681234","193,226221",",931759","38,471623",,131,47,31,"3,741935","205,806452",",78033","42,906609",396,"16,055556","878,017677","3,239855","176,741609",,163,100,47,"6,106383","374,042553","1,199408","73,579056",295,"15,00339","1015,016949","2,964567","200,8445",,169,,1,1,30,",205882","6,176471",435,"8,002299","395,712644","1,587949","78,661289",,1,7,2,4,120,",753228","22,421091",595,"7,30084","361,97479","1,478518","73,295368",,,47,103,"18,184466","890,097087","3,629275","177,768628",455,"30,182418","1555,351648","6,041272","310,806495",,61,21,16,"2,3125","117,1875",",476736","24,16218",507,"10,4714","492,218935","2,119377","99,601468",,1,,6,"5,5",315,",966952","55,016694",598,"11,438127","702,541806","2,311858","142,089395",,35,200,368,"13,355978","801,154891","2,63483","158,047794",2,"19,5",1140,"4,014706","234,705883",,1,1,,,,,,603,"7,457711","306,791045","1,50534","61,73726",
1661824,114,93,,,,,,,21,"1,142857","45,714286",",164514","6,580584",,,,,,,,,114,"13,175439","390,614035","2,075688","61,531945",,,1,1,6,285,",763636","36,272727",112,"23,785714","1364,732143","3,728028","212,985884",,46,50,14,"7,357143","512,142857","1,051598","73,319807",4,"9,75","787,5","1,296518","105,232065",,6,1,11,"1,818182","38,181818",",296083","6,212263",96,"3,979167","176,5625",",66109","29,503026",,1,25,74,"2,202703","108,040541",",363805","17,884862",14,"6,714286","491,785714","1,086934","79,310536",,,2,6,"27,833333",1105,"4,723084","190,567848",106,"53,54717","2342,54717","8,172345","357,858669",,2,,5,"3,2",144,",558953","25,152876",107,"10,299065","427,990654","1,534317","63,885161",,2,53,21,"6,238095","315,714286",",981384","48,781811",38,"11,026316","636,973684","1,683594","95,846143",,5,54,37,"13,216216","1160,27027","1,964624","173,031363",18,"18,5",1625,"2,877262","252,849331",,,7,87,"5,482759","164,482759",",836514","25,095421",20,"7,5",228,"1,11169","33,732509",
1661825,45,12,,,,,,,33,1,30,",230999","6,929964",,,9,3,"1,333333",30,",292302","6,71024",33,"2,515152","64,090909",",585167","14,783166",,3,3,,,,,,39,"17,717949","534,615385","4,160956","125,350732",,38,,2,4,360,",823529","74,117647",5,"6,4",576,"1,350588","121,552941",,,,,,,,,45,"3,244444","172,666667",",773793","40,862692",,,1,5,"7,4",126,"2,012462","34,3",39,"9,820513","202,307692","2,214858","45,738433",,,1,4,"24,25","786,25","5,246188","169,881536",40,"42,5","1411,875","9,899873","329,433226",,11,2,5,3,99,",728671","24,193464",27,"6,444444","211,666667","1,528686","50,190062",,11,10,24,"9,458333","211,458333","2,169602","48,505396",,,,,,,41,3,1,9,810,"1,852941","166,764706",,,,,,,45,,,,,,,,,,,,
1661826,794,1,,,,,,,793,"2,529634","97,547289",",471496","18,220498",,,,,,,,,794,"6,403023","164,918136","1,191452","30,787348",,1,,17,"2,941176","236,470588",",589093","47,283896",776,"8,427835","535,902062","1,549754","98,76193",,,14,72,"4,583333","395,416667",",891131","76,682492",708,"10,34322","839,555085","1,898872","154,325387",,66,20,19,"1,526316","35,263158",",284527","6,616835",689,"2,047896","86,734398",",389306","16,396904",,,,1,4,100,",823529","20,588235",793,"9,252207","413,360656","1,742464","77,891689",,,3,18,"23,666667","986,666667","4,440446","185,506117",773,"36,831824","1622,600259","6,812309","300,457367",,,1,1,6,180,",875","26,25",792,"8,593434","395,681818","1,58907","73,140532",,13,92,109,"4,321101","264,495413",",770015","47,211395",580,"8,981034","599,275862","1,69091","112,611014",,19,12,64,"11,484375","1006,25","1,949342","170,760841",699,"21,638054","1776,781116","4,041974","331,854836",,13,6,3,"4,666667",140,",843616","25,308465",772,"7,542746","283,205959","1,405713","52,893878",
1661827,570,4,,,,,,,566,"1,392226","20,909894",",26169","3,929875",,37,14,9,2,30,",366843","5,502643",510,"3,027451","75,941176",",566804","14,248629",,309,40,5,4,240,",741729","44,133142",216,"8,671296",760,"1,619907","142,195165",,209,67,89,"5,842697","427,58427","1,057576","77,394241",205,"7,643902","642,292683","1,420407","119,016654",,,334,15,"40,466667",30,"7,566649","5,666487",221,"41,778281","235,520362","7,78134","44,190398",,,,,,,,,570,"23,363158","741,868421","4,338861","138,173396",,,13,56,"27,785714","946,964286","5,15524","175,276109",501,"51,858283","1803,483034","9,673443","336,061399",,1,5,16,"4,375","131,25",",826825","24,804743",548,"10,20438","306,979927","1,896427","57,04982",,,5,548,"6,534672","294,023723","1,215826","54,706146",17,"6,823529","307,058824","1,380183","62,108222",,,70,337,"15,896142","975,74184","2,942602","180,592361",163,"19,01227","1223,435583","3,545183","228,093894",,,1,13,"5,307692","149,615385",",986574","27,790062",556,"8,489209","271,690647","1,585626","50,730869",
1661828,537,196,,,,,,,341,"1,369501","25,381232",",237354","4,378684",,72,50,73,"1,369863",30,",256642","5,74937",342,"3,666667","75,891813",",61479","12,726122",,96,38,25,"2,24","213,6",",409506","40,148216",378,"7,674603","996,587302","1,311412","170,179274",,161,79,32,"5,46875","423,75",",97063","74,956368",265,"9,316981","785,09434","1,609836","135,278516",,70,,8,1,30,",17057","5,11711",459,"3,845316","319,411765",",663511","54,527169",,,3,41,"4,609756","126,097561",",867655","23,574207",493,"9,557809","277,048682","1,672028","48,597242",,,88,148,"30,22973","991,587838","5,316377","174,306234",301,"52,259136","1795,980066","8,850806","304,504503",,74,59,42,"3,261905","146,071429",",589205","26,388626",362,"7,273481","324,737569","1,258698","56,246102",,,330,123,"16,03252","270,365854","2,836983","47,777702",84,"22,642857","545,833333","3,937302","94,822549",,1,89,294,"13,037415","1027,346939","2,243715","176,856427",153,"18,065359","1423,529412","3,038608","239,596321",,1,10,58,"4,810345","160,344828",",802966","26,76405",468,"6,867521","241,997863","1,198766","42,316529",
1661829,411,3,,,,,,,408,"1,110294","23,308824",",241612","5,072959",,6,1,,,,,,404,"2,346535","134,925743",",502396","28,891975",,107,20,8,2,200,",409564","40,956366",276,"6,637681","651,467391","1,416787","139,090892",,,116,34,"3,970588","354,411765",",845907","75,644458",261,"8,137931","764,961686","1,711358","160,904589",,,,,,,,,411,"3,072993","209,026764",",663947","45,12401",,,,16,"2,5625","111,875",",603611","26,169629",395,"7,336709","253,075949","1,569873","54,398837",,,25,57,"18,070175","810,350877","3,925025","176,120499",329,"38,197568","2011,610942","8,101269","426,460809",,6,51,48,"2,104167","110,625",",454786","23,776481",306,"4,895425","313,137255","1,041333","66,339855",,80,1,12,1,300,",183791","55,137342",318,"3,487421","1038,443396",",760412","225,853481",,,70,96,"9,510417","837,760417","1,991025","175,362846",245,"15,469388","1423,44898","3,268867","300,527106",,1,2,1,4,120,",903226","27,096774",407,"9,732187","300,872236","2,082833","64,267905",
1661830,264,69,,,,,,,195,"1,323077","30,410256",",240802","5,48141",,5,1,2,1,30,",269595","8,087838",256,"3,203125","110,546875",",580691","20,059606",,2,11,13,"4,153846","228,461538",",806144","44,303798",238,"10,844538","617,079832","1,918393","109,12108",,7,63,31,"5,645161","413,225806","1,014792","75,103133",163,"12,699387","840,736196","2,266493","150,43556",,31,,11,1,30,",186951","5,608528",222,"2,891892","175,765766",",525523","31,445352",,,2,1,3,115,",4375","16,770833",261,"11,563218","420,32567","2,124828","77,257576",,,9,20,"21,8",1034,"3,863681","181,457496",235,"43,229787","2081,06383","7,762436","371,670985",,4,5,,,,,,255,"23,215686","916,176471","4,129275","162,729242",,8,203,20,"8,8",243,"1,695108","46,074423",33,"12,121212","460,909091","2,314841","86,905584",,6,17,30,"13,933333",1091,"2,413798","189,118954",211,"18,663507","1426,492891","3,35986","256,538083",,7,2,5,"3,6",147,",648602","26,410788",250,"7,516",266,"1,355221","48,077476",
1661831,44,12,,,,,,,32,"1,09375","16,875",",26849","4,123865",,,,,,,,,44,"3,454545",105,",835405","25,230783",,,3,1,2,180,",411765","37,058824",40,"9,125","605,25","2,259332","150,029224",,29,10,2,5,375,",941536","69,296987",3,"8,666667",530,"1,784314","109,117647",,,,,,,,,44,"2,613636","131,25",",614041","30,688054",,,1,,,,,,43,"11,953488","477,906977","2,87926","116,505267",,,2,2,20,675,"5,279915","178,215812",40,"43,175",1834,"10,261607","434,942921",,1,1,3,2,"83,333333",",518519","21,604938",39,"7,666667","291,666667","1,771912","68,149875",,,35,1,2,225,",518519","58,333333",8,"5,375","471,25","1,2067","106,863426",,40,2,1,14,825,"2,882353","169,852941",1,23,1350,"3,926829","230,487805",,34,7,1,2,90,",518519","23,333333",2,6,180,"1,129842","33,895266",
