PDS,ANZ_S,RTS_E23010.0,RTS_E23010.1,RTS_E23010.3,RTS_E23010.3.MW_A_PR,RTS_E23010.3.MW_M_PR,RTS_E23010.3.MW_A_PW,RTS_E23010.3.MW_M_PW,RTS_E23010.4,RTS_E23010.4.MW_A_PR,RTS_E23010.4.MW_M_PR,RTS_E23010.4.MW_A_PW,RTS_E23010.4.MW_M_PW,RTS_E23010.9,RTS_E23020.0,RTS_E23020.1,RTS_E23020.3,RTS_E23020.3.MW_A_PR,RTS_E23020.3.MW_M_PR,RTS_E23020.3.MW_A_PW,RTS_E23020.3.MW_M_PW,RTS_E23020.4,RTS_E23020.4.MW_A_PR,RTS_E23020.4.MW_M_PR,RTS_E23020.4.MW_A_PW,RTS_E23020.4.MW_M_PW,RTS_E23020.9,RTS_E23030.0,RTS_E23030.1,RTS_E23030.3,RTS_E23030.3.MW_A_PR,RTS_E23030.3.MW_M_PR,RTS_E23030.3.MW_A_PW,RTS_E23030.3.MW_M_PW,RTS_E23030.4,RTS_E23030.4.MW_A_PR,RTS_E23030.4.MW_M_PR,RTS_E23030.4.MW_A_PW,RTS_E23030.4.MW_M_PW,RTS_E23030.9,RTS_E23040.0,RTS_E23040.1,RTS_E23040.3,RTS_E23040.3.MW_A_PR,RTS_E23040.3.MW_M_PR,RTS_E23040.3.MW_A_PW,RTS_E23040.3.MW_M_PW,RTS_E23040.4,RTS_E23040.4.MW_A_PR,RTS_E23040.4.MW_M_PR,RTS_E23040.4.MW_A_PW,RTS_E23040.4.MW_M_PW,RTS_E23040.9,RTS_E23050.0,RTS_E23050.1,RTS_E23050.3,RTS_E23050.3.MW_A_PR,RTS_E23050.3.MW_M_PR,RTS_E23050.3.MW_A_PW,RTS_E23050.3.MW_M_PW,RTS_E23050.4,RTS_E23050.4.MW_A_PR,RTS_E23050.4.MW_M_PR,RTS_E23050.4.MW_A_PW,RTS_E23050.4.MW_M_PW,RTS_E23050.9,RTS_E23060.0,RTS_E23060.1,RTS_E23060.3,RTS_E23060.3.MW_A_PR,RTS_E23060.3.MW_M_PR,RTS_E23060.3.MW_A_PW,RTS_E23060.3.MW_M_PW,RTS_E23060.4,RTS_E23060.4.MW_A_PR,RTS_E23060.4.MW_M_PR,RTS_E23060.4.MW_A_PW,RTS_E23060.4.MW_M_PW,RTS_E23060.9,RTS_E23070.0,RTS_E23070.1,RTS_E23070.3,RTS_E23070.3.MW_A_PR,RTS_E23070.3.MW_M_PR,RTS_E23070.3.MW_A_PW,RTS_E23070.3.MW_M_PW,RTS_E23070.4,RTS_E23070.4.MW_A_PR,RTS_E23070.4.MW_M_PR,RTS_E23070.4.MW_A_PW,RTS_E23070.4.MW_M_PW,RTS_E23070.9,RTS_E23080.0,RTS_E23080.1,RTS_E23080.3,RTS_E23080.3.MW_A_PR,RTS_E23080.3.MW_M_PR,RTS_E23080.3.MW_A_PW,RTS_E23080.3.MW_M_PW,RTS_E23080.4,RTS_E23080.4.MW_A_PR,RTS_E23080.4.MW_M_PR,RTS_E23080.4.MW_A_PW,RTS_E23080.4.MW_M_PW,RTS_E23080.9,RTS_E23090.0,RTS_E23090.1,RTS_E23090.3,RTS_E23090.3.MW_A_PR,RTS_E23090.3.MW_M_PR,RTS_E23090.3.MW_A_PW,RTS_E23090.3.MW_M_PW,RTS_E23090.4,RTS_E23090.4.MW_A_PR,RTS_E23090.4.MW_M_PR,RTS_E23090.4.MW_A_PW,RTS_E23090.4.MW_M_PW,RTS_E23090.9,RTS_E23100.0,RTS_E23100.1,RTS_E23100.3,RTS_E23100.3.MW_A_PR,RTS_E23100.3.MW_M_PR,RTS_E23100.3.MW_A_PW,RTS_E23100.3.MW_M_PW,RTS_E23100.4,RTS_E23100.4.MW_A_PR,RTS_E23100.4.MW_M_PR,RTS_E23100.4.MW_A_PW,RTS_E23100.4.MW_M_PW,RTS_E23100.9,RTS_E23110.0,RTS_E23110.1,RTS_E23110.3,RTS_E23110.3.MW_A_PR,RTS_E23110.3.MW_M_PR,RTS_E23110.3.MW_A_PW,RTS_E23110.3.MW_M_PW,RTS_E23110.4,RTS_E23110.4.MW_A_PR,RTS_E23110.4.MW_M_PR,RTS_E23110.4.MW_A_PW,RTS_E23110.4.MW_M_PW,RTS_E23110.9
1483461,62,,3,9,"29,888889","1346,666667","9,203333","415,176543",50,"43,56","1942,2","13,270852","591,265173",,1,10,15,"4,8",246,"1,514949","76,61889",36,"7,444444","386,666667","2,26085","117,45331",,7,26,19,"3,631579","108,947368","1,104051","33,121542",10,"5,1",153,"1,605593","48,167778",,1,1,2,4,240,"1,414142","84,848485",58,"5,87931","352,758621","1,855489","111,329307",,,5,5,2,84,",663704","28,038889",52,"3,673077","147,980769","1,177844","47,398845",,1,,14,1,30,",323592","9,70775",47,"3,191489","141,06383","1,009076","44,55284",,35,,,,,,,27,"2,740741","159,444444",",829752","48,312382",,5,9,8,"3,5","157,5","1,131545","50,919508",40,"5,6",252,"1,712669","77,070114",,5,17,27,3,180,",928181","55,690848",13,"4,230769","253,846154","1,247977","74,878632",,35,1,4,1,45,",379167","17,0625",22,"4,454545",135,"1,325635","39,943156",,,,,,,,,62,"1,048387","15,725806",",335058","5,025865",
1483462,108,,,,,,,,108,"74,62037","3564,907407","23,110923","1112,017291",,90,5,4,"7,5",255,"2,393884","82,869152",9,17,"533,333333","4,703989","149,286348",,59,29,11,"4,272727","128,181818","1,064644","31,939331",9,"4,333333",130,"1,533951","46,018519",,1,6,100,"3,86","231,6","1,242102","74,526119",1,5,300,"1,296296","77,777778",,58,47,3,2,85,",629848","26,398693",,,,,,,75,,17,1,30,",318052","9,541567",16,"1,25","73,125",",413558","24,157239",,23,18,4,3,45,",929646","13,944684",63,"4,460317","211,190476","1,338113","62,827626",,10,,2,"2,5",150,",738889","44,333334",96,"8,21875","493,125","2,522488","151,349287",,89,4,7,3,180,",899919","53,995139",8,4,240,"1,308056","78,483376",,,6,,,,,,102,"5,686275","381,519608","1,767858","118,775929",,107,,,,,,,1,1,15,",304348","4,565217",
1483463,68,,1,12,"38,916667","1253,333333","12,213362","393,723386",55,"52,472727","1717,454545","16,978791","556,170955",,5,3,17,"4,294118","252,352941","1,320531","77,620631",43,"6,046512","349,534884","1,994084","115,612375",,56,6,4,"4,5",90,"1,554167","31,083333",2,6,210,"2,1","73,5",,1,4,21,"4,666667","233,333333","1,54362","77,181017",42,"6,142857","307,142857","1,999959","99,997924",,,2,25,"3,08","77,4","1,028084","25,914683",41,"4,195122","127,439024","1,338178","40,86252",,3,,,,,,,65,"1,569231","89,692308",",522365","29,872003",,42,,1,1,50,",35","17,5",25,"2,2","128,4",",723935","42,168761",,2,3,15,"5,466667",182,"1,734963","57,814815",48,"6,458333","213,75","2,111057","69,962764",,16,14,10,3,150,"1,038638","51,931884",28,4,200,"1,298132","64,90662",,,14,,,,,,54,"2,648148","84,722222",",853495","27,323786",,1,,,,,,,67,"1,223881","18,358209",",397479","5,962179",
1483464,97,,9,37,"47,405405","1321,621622","13,71679","382,181292",51,"67,901961","1988,039216","19,910916","581,591812",,70,26,1,12,340,"3,111111","88,148148",,,,,,,1,1,27,"6,185185","123,703704","1,753093","35,061864",68,"7,205882","144,117647","2,131308","42,626152",,,4,14,"3,857143","223,928571","1,20493","69,909271",79,"5,392405","309,303797","1,605017","92,05312",,,15,25,2,90,",610074","27,453333",57,"3,421053","176,842105","1,019614","52,771081",,45,,1,1,30,",35","10,5",51,"3,078431","204,705882",",921363","61,103077",,57,,2,1,50,",30463","15,231482",38,"3,5","185,789474","1,057126","56,242846",,17,2,32,"4,59375","183,75","1,264737","50,589465",46,"5,847826","233,913043","1,868482","74,739277",,76,5,12,3,180,",87786","52,671569",4,4,240,"1,4",84,,2,37,,,,,,58,"3,844828","80,689655","1,116361","23,389299",,75,,,,,,,22,"1,090909","16,363636",",335635","5,034526",
1483465,38,,1,12,"41,5","1207,916667","14,360732","417,696338",25,"56,96","1896,6","17,29598","574,569158",,15,13,5,"8,4",252,"2,384118","71,523529",5,"8,2",678,"2,391666","197,75",,18,9,9,"4,666667","93,333333","1,600926","32,018519",2,6,120,"2,1",42,,6,2,6,3,215,",988721","70,960438",24,4,285,"1,277967","91,055124",,,5,7,"2,142857","77,142857",",707407","25,402778",26,"3,923077","167,884615","1,224599","52,619641",,31,,3,1,30,",300309","9,009259",4,"2,25",90,",729167","29,75",,20,,1,1,45,",35","15,75",17,"2,647059","149,117647",",785134","43,96833",,5,8,11,"3,545455","159,545455","1,089003","49,005132",14,"4,857143",225,"1,580322","73,114496",,22,13,2,2,"142,5",",60926","43,069445",1,3,210,",617647","43,235294",,,,,,,,,38,"3,5","145,657895","1,111359","46,567261",,18,,,,,,,20,"1,25","18,75",",401753","6,026299",
1483466,413,,2,28,"27,107143","1245,892857","8,894907","408,585648",383,"42,206266","2034,895561","13,778839","664,669156",,2,40,115,"3,947826","232,304348","1,255479","74,002514",256,"6,304688","370,78125","2,106826","124,04465",,73,41,151,"3,344371","100,331126","1,067232","32,016953",148,"4,972973","149,189189","1,661597","49,847907",,7,2,119,"3,92437","235,462185","1,29934","77,960374",285,"5,284211","311,315789","1,748907","103,10443",,,2,5,"4,4",81,"1,423805","26,511616",406,"7,480296","231,724138","2,455679","76,405201",,108,10,1,2,35,",518519","9,074074",294,"1,860544","115,748299",",613125","38,17411",,231,,1,1,50,",259259","12,962963",181,"2,21547","127,624309",",714972","41,159697",,42,9,41,"3,560976","185,121951","1,040548","54,469629",321,"4,791277","264,018692","1,614582","88,852516",,121,6,6,2,150,",645647","48,423489",280,"3,703571","277,767857","1,234299","92,572427",,11,4,1,2,50,",518519","12,962963",397,"1,881612","83,488665",",616277","27,525265",,40,,,,,,,373,1,30,",331178","9,935351",
1483467,56,,,,,,,,56,"65,892857","2236,25","16,840416","571,468234",,17,8,21,"9,714286","304,285714","2,417302","76,273965",10,13,402,"3,372844","104,487729",,46,1,8,"6,625","132,5","1,585694","31,713868",1,11,220,"2,566667","51,333333",,1,,,,,,,55,"7,127273","427,636364","1,860328","111,619682",,,1,,,,,,55,"4,036364","183,272727","1,06798","48,483353",,20,,3,1,30,",300309","9,009259",33,"2,727273","176,818182",",695999","45,007411",,9,3,,,,,,44,"5,136364","263,863636","1,350906","69,488213",,14,2,2,6,180,"1,555556","46,666667",38,"8,052632","241,578947","2,098524","62,955727",,10,,,,,,,46,"3,391304","256,304348",",898696","67,90942",,3,2,3,"2,333333",45,",579012","11,277778",48,"4,1875","113,75","1,09547","29,841085",,,,,,,,,56,"1,714286","25,892857",",456885","6,907678",
1483468,151,,2,9,"40,222222","1316,666667","12,441479","401,816267",140,"56,571429","1997,214286","16,988289","600,145567",,134,13,3,"8,666667",260,"2,428395","72,851852",1,15,450,"3,888889","116,666667",,12,66,57,"3,578947","107,368421","1,063037","31,891105",16,5,150,"1,555961","46,67882",,3,7,15,"3,866667",232,"1,159282","69,556902",126,"5,492063","329,52381","1,709818","102,589099",,,7,7,"3,142857","87,857143",",996296","28,611111",137,"5,40146","199,051095","1,619822","59,662188",,52,12,1,2,30,",7","10,5",86,"1,395349","84,069767",",418923","25,28031",,94,,,,,,,57,"2,982456","178,947368",",880655","52,839286",,2,5,2,3,180,",761765","45,705883",142,"4,866197","291,971831","1,498655","89,919317",,10,33,37,3,180,",934378","56,062652",71,4,240,"1,225931","73,555887",,,,1,2,45,",636364","14,318182",150,"3,333333","102,1","1,008733","31,049118",,3,,,,,,,148,"1,013514","15,304054",",313259","4,734363",
1483469,486,,1,13,"45,923077","1325,384615","13,48318","389,273997",472,"87,847458","2778,591102","26,090253","825,242552",,76,14,8,"6,875","266,25","1,847708","71,594445",388,"8,505155","514,484536","2,573387","155,682971",,10,68,304,"5,476974","111,578947","1,640057","33,379529",104,"6,423077","152,211538","1,926509","45,738168",,4,17,66,"4,424242","199,090909","1,294448","58,250148",399,6,270,"1,815446","81,695046",,1,54,47,"3,12766","77,87234",",958832","24,108918",384,"3,872396","127,421875","1,160888","38,247118",,17,,3,1,30,",29046","8,713793",466,"1,781116","102,103004",",533497","30,48336",,67,1,1,1,50,",35","17,5",417,"4,510791","224,292566","1,364466","67,83826",,29,45,89,"5,764045","172,921348","1,669179","50,07536",323,"9,133127","273,993808","2,75016","82,504787",,91,9,24,3,150,",90581","45,290509",362,"4,002762","200,165746","1,218422","60,930764",,,1,1,2,50,",518519","12,962963",484,"5,940083","196,167355","1,786273","59,209146",,3,,,,,,,483,"1,575569","23,63354",",476222","7,143335",
1483470,231,,5,87,"42,931034","1335,517241","12,834741","399,249768",139,"54,741007","1783,057554","16,82597","547,213044",,171,58,1,6,210,"2,1","73,5",1,10,600,"2,592593","155,555556",,9,149,59,"4,779661","95,59322","1,538114","30,76228",14,"6,928571","142,857143","2,136207","43,835257",,,,29,"4,62069",225,"1,404136","68,44761",202,"5,732673","321,831683","1,787043","100,322456",,1,8,,,,,,222,"3,972973","225,743243","1,229462","69,843159",,63,,8,1,30,",324584","9,73752",160,"1,99375","159,09375",",607057","47,641475",,86,54,12,"1,5","52,5",",464506","16,371142",79,"4,708861","212,848101","1,450037","65,727205",,39,14,100,"4,19","178,4","1,212024","51,496762",78,"5,384615","235,641026","1,807934","78,963857",,85,17,13,3,"154,615385",",883974","45,654558",116,"4,577586","238,793103","1,396788","72,86072",,18,10,12,"1,166667","45,833333",",37302","14,452577",191,"2,816754","101,701571",",870508","31,42175",,10,23,1,1,10,",35","3,5",197,"1,898477","26,142132",",59096","8,151803",
