PDS,ANZ_S,RTS_E26110.0,RTS_E26110.1,RTS_E26110.3,RTS_E26110.3.MW_A_PR,RTS_E26110.3.MW_M_PR,RTS_E26110.3.MW_A_PW,RTS_E26110.3.MW_M_PW,RTS_E26110.4,RTS_E26110.4.MW_A_PR,RTS_E26110.4.MW_M_PR,RTS_E26110.4.MW_A_PW,RTS_E26110.4.MW_M_PW,RTS_E26110.9,RTS_E26100.0,RTS_E26100.1,RTS_E26100.3,RTS_E26100.3.MW_A_PR,RTS_E26100.3.MW_M_PR,RTS_E26100.3.MW_A_PW,RTS_E26100.3.MW_M_PW,RTS_E26100.4,RTS_E26100.4.MW_A_PR,RTS_E26100.4.MW_M_PR,RTS_E26100.4.MW_A_PW,RTS_E26100.4.MW_M_PW,RTS_E26100.9,RTS_E26090.0,RTS_E26090.1,RTS_E26090.3,RTS_E26090.3.MW_A_PR,RTS_E26090.3.MW_M_PR,RTS_E26090.3.MW_A_PW,RTS_E26090.3.MW_M_PW,RTS_E26090.4,RTS_E26090.4.MW_A_PR,RTS_E26090.4.MW_M_PR,RTS_E26090.4.MW_A_PW,RTS_E26090.4.MW_M_PW,RTS_E26090.9,RTS_E26080.0,RTS_E26080.1,RTS_E26080.3,RTS_E26080.3.MW_A_PR,RTS_E26080.3.MW_M_PR,RTS_E26080.3.MW_A_PW,RTS_E26080.3.MW_M_PW,RTS_E26080.4,RTS_E26080.4.MW_A_PR,RTS_E26080.4.MW_M_PR,RTS_E26080.4.MW_A_PW,RTS_E26080.4.MW_M_PW,RTS_E26080.9,RTS_E26070.0,RTS_E26070.1,RTS_E26070.3,RTS_E26070.3.MW_A_PR,RTS_E26070.3.MW_M_PR,RTS_E26070.3.MW_A_PW,RTS_E26070.3.MW_M_PW,RTS_E26070.4,RTS_E26070.4.MW_A_PR,RTS_E26070.4.MW_M_PR,RTS_E26070.4.MW_A_PW,RTS_E26070.4.MW_M_PW,RTS_E26070.9,RTS_E26060.0,RTS_E26060.1,RTS_E26060.3,RTS_E26060.3.MW_A_PR,RTS_E26060.3.MW_M_PR,RTS_E26060.3.MW_A_PW,RTS_E26060.3.MW_M_PW,RTS_E26060.4,RTS_E26060.4.MW_A_PR,RTS_E26060.4.MW_M_PR,RTS_E26060.4.MW_A_PW,RTS_E26060.4.MW_M_PW,RTS_E26060.9,RTS_E26050.0,RTS_E26050.1,RTS_E26050.3,RTS_E26050.3.MW_A_PR,RTS_E26050.3.MW_M_PR,RTS_E26050.3.MW_A_PW,RTS_E26050.3.MW_M_PW,RTS_E26050.4,RTS_E26050.4.MW_A_PR,RTS_E26050.4.MW_M_PR,RTS_E26050.4.MW_A_PW,RTS_E26050.4.MW_M_PW,RTS_E26050.9,RTS_E26040.0,RTS_E26040.1,RTS_E26040.3,RTS_E26040.3.MW_A_PR,RTS_E26040.3.MW_M_PR,RTS_E26040.3.MW_A_PW,RTS_E26040.3.MW_M_PW,RTS_E26040.4,RTS_E26040.4.MW_A_PR,RTS_E26040.4.MW_M_PR,RTS_E26040.4.MW_A_PW,RTS_E26040.4.MW_M_PW,RTS_E26040.9,RTS_E26030.0,RTS_E26030.1,RTS_E26030.3,RTS_E26030.3.MW_A_PR,RTS_E26030.3.MW_M_PR,RTS_E26030.3.MW_A_PW,RTS_E26030.3.MW_M_PW,RTS_E26030.4,RTS_E26030.4.MW_A_PR,RTS_E26030.4.MW_M_PR,RTS_E26030.4.MW_A_PW,RTS_E26030.4.MW_M_PW,RTS_E26030.9,RTS_E26020.0,RTS_E26020.1,RTS_E26020.3,RTS_E26020.3.MW_A_PR,RTS_E26020.3.MW_M_PR,RTS_E26020.3.MW_A_PW,RTS_E26020.3.MW_M_PW,RTS_E26020.4,RTS_E26020.4.MW_A_PR,RTS_E26020.4.MW_M_PR,RTS_E26020.4.MW_A_PW,RTS_E26020.4.MW_M_PW,RTS_E26020.9,RTS_E26010.0,RTS_E26010.1,RTS_E26010.3,RTS_E26010.3.MW_A_PR,RTS_E26010.3.MW_M_PR,RTS_E26010.3.MW_A_PW,RTS_E26010.3.MW_M_PW,RTS_E26010.4,RTS_E26010.4.MW_A_PR,RTS_E26010.4.MW_M_PR,RTS_E26010.4.MW_A_PW,RTS_E26010.4.MW_M_PW,RTS_E26010.9
1485316,223,22,,,,,,,201,"1,084577","16,268657",",365722","5,485825",,85,1,1,1,30,",35","10,5",136,"2,522059","78,639706",",842255","26,276719",,214,3,,,,,,6,"5,666667",255,"1,928241","86,770833",,208,,,,,,,15,"2,066667",130,",72707","45,971242",,1,,10,1,30,",321741","9,652222",212,"3,259434","139,103774","1,11391","47,544177",,1,11,13,2,60,",677124","20,313726",198,"2,823232","100,227273",",956203","33,975702",,19,7,,,,,,197,2,"90,152284",",676011","30,473796",,,3,5,"12,4",227,"3,814444","70,242593",215,"22,734884","532,72093","7,553242","176,687223",,194,8,4,"2,75",165,",758334","45,5",17,"5,117647","241,764706","1,726428","82,865558",,3,23,54,"1,537037",75,",485157","23,542303",143,"2,461538","111,713287",",848986","38,752506",,,4,68,"23,647059","964,852941","7,823595","319,248227",151,"34,721854","1459,271523","11,614675","488,165511",
1485317,345,335,,,,,,,10,1,"22,5",",294424","6,593835",,,,1,1,30,",35","10,5",344,"6,616279","464,171512","2,117997","148,32324",,293,7,5,"2,8",168,",797184","47,831017",40,"6,6",396,"1,98685","119,210992",,245,47,1,3,45,"1,05","15,75",52,"3,903846","203,942308","1,127982","59,342462",,245,,3,1,30,",289506","8,685185",97,"1,515464","93,402062",",504283","31,054832",,149,141,24,1,60,",322597","19,355826",31,2,"78,387097",",646498","25,429146",,8,207,4,"1,5",65,",385079","16,473647",126,2,90,",659743","29,688424",,,2,1,8,240,"2,074074","62,222222",342,"23,22807","704,005848","7,295397","221,144389",,309,16,4,"4,5",135,"1,613889","48,416667",16,"12,4375","416,25","3,758074","124,724861",,2,6,2,7,120,"1,587963","26,412037",335,"10,385075","186,074627","3,36604","60,573675",,,1,15,"28,533333",1050,"9,064252","329,99554",329,"47,449848","1673,31307","15,067918","531,197976",
1485318,327,11,,,,,,,316,"1,186709","18,370253",",406244","6,27334",,2,55,1,2,30,",823529","12,352941",269,"2,698885","84,423792",",922172","28,894464",,98,31,57,"5,105263","171,403509","1,68373","56,600845",141,"6,198582","205,957447","2,149078","71,483033",,286,1,2,1,50,",35","17,5",38,"1,868421","108,684211",",634588","36,973451",,17,,5,1,30,",323869","9,716082",305,"1,298361","71,377049",",444685","24,458246",,,11,112,"2,008929","59,910714",",732527","21,850823",204,"3,264706","79,019608","1,074849","26,123282",,8,101,,,,,,218,2,100,",684125","34,20627",,,,1,12,225,"4,2","78,75",326,"30,616564","783,558282","10,363225","265,053229",,7,149,64,"4,84375","145,3125","1,694607","50,838215",107,"7,327103","219,813084","2,498778","74,963352",,,2,24,5,"84,791667","1,558226","26,435747",301,"14,943522","237,624585","5,049637","80,398237",,,4,44,"36,886364","1015,113636","12,225162","336,377451",279,"46,376344","1277,65233","15,855735","436,759534",
1485319,477,429,,,,,,,48,"1,020833","15,3125",",310101","4,651522",,5,1,287,"2,010453",30,",656103","9,809024",184,"3,320652","69,130435","1,021882","21,227587",,274,15,58,"4,275862","171,034483","1,251621","50,064855",130,"5,638462","225,538462","1,866889","74,675536",,428,,4,1,50,",315902","15,795089",45,"3,355556","168,444444","1,003364","50,341058",,226,,5,1,30,",315381","9,461438",246,"2,666667","159,552846",",845318","50,408706",,,3,1,1,60,",411765","24,705882",473,"3,67019","189,386892","1,175131","60,605237",,7,20,6,1,60,",341358","20,481482",444,"2,02027","105,878378",",647548","33,934889",,1,40,84,"7,47619","204,52381","2,301414","63,010252",352,"25,599432","468,792614","7,946981","145,040068",,477,,,,,,,,,,,,,,54,155,"4,593548","88,516129","1,327198","25,357333",268,"5,16791","108,078358","1,760305","36,794439",,,44,145,"37,268966","946,310345","11,760818","298,365728",288,"57,381944","1597,083333","17,751168","494,024941",
1485320,182,116,,,,,,,66,"1,257576","18,863636",",39809","5,971356",,,,1,2,30,",7","10,5",181,"3,629834","149,005525","1,169854","48,511551",,139,6,16,"3,3125","149,0625","1,076852","48,458333",21,"4,714286","214,285714","1,569577","71,380952",,153,,2,1,45,",30463","13,708334",27,"2,407407","133,333333",",745113","41,300128",,171,2,4,"1,25","32,5",",414815","10,694445",5,2,110,",526806","31,30463",,,,,,,,,182,"3,412088","147,527473","1,104858","47,993006",,1,,6,1,65,",319753","20,708333",175,"2,017143","136,028571",",661183","44,584849",,,,2,16,205,"5,911111","75,444445",180,"35,866667","774,333333","11,436224","246,627894",,71,24,55,"5,072727","150,272727","1,651763","49,032857",32,"7,34375","220,3125","2,328401","69,852022",,,21,18,"3,833333","79,444444","1,143513","24,111303",143,"6,699301","181,328671","2,232716","60,488174",,,33,96,"35,895833","935,15625","11,693787","304,854478",53,"46,037736","1361,792453","14,405767","422,916563",
1485321,85,2,,,,,,,83,"1,506024","22,590361",",427295","6,40942",,8,9,17,"1,647059","30,882353",",509812","9,382875",51,"3,235294","86,666667",",885926","23,810392",,63,5,1,6,180,"1,68","50,4",16,"7,5",225,"2,08189","62,456699",,46,10,,,,,,29,"7,689655","466,034483","2,110818","128,104467",,41,,9,1,30,",267011","8,010349",35,"2,171429","137,142857",",608584","39,148191",,,,,,,,,85,"3,976471","178,588235","1,131512","50,862274",,3,,,,,,,82,"2,146341","96,585366",",60566","27,254678",,,,,,,,,85,"39,305882","653,294118","10,806115","179,301005",,39,12,10,"5,2",156,"1,599131","47,973932",24,"9,541667","291,25","2,66765","81,058909",,,28,4,5,85,"1,543889","26,334259",53,"8,660377","187,735849","2,372895","51,223496",,,,9,"32,777778","1055,555556","9,108896","295,620794",76,"55,276316","1893,026316","15,199807","521,982503",
1485322,588,30,,,,,,,558,"1,005376","15,170251",",330707","4,991966",,2,,6,1,30,",310031","9,300926",580,"2,956897","99,034483",",967338","32,429487",,436,4,7,"2,285714","137,142857",",722222","43,333333",141,"5,609929","336,595745","1,816215","108,972892",,126,,,,,,,462,"1,387446","83,246753",",447837","26,870199",,71,6,1,1,30,",259259","7,777778",510,"1,270588","80,794118",",413159","26,373309",,,2,2,3,60,"1,108334","22,166667",584,"5,313356","200,342466","1,727001","65,261483",,12,,224,1,60,",33701","20,220624",352,"2,147727","128,821023",",691025","41,446563",,,2,4,"7,25","207,5","2,333333","66,5",582,"16,599656","484,896907","5,345697","156,186775",,497,63,26,"4,538462","136,153846","1,518661","45,559829",2,7,210,"2,45","73,5",,,7,23,"4,695652","77,608696","1,518277","25,166667",558,"11,689964","204,623656","3,791632","66,425381",,,3,19,"32,947368","997,894737","10,800943","327,344094",566,"48,805654","1625,300353","15,735295","523,892361",
1485323,269,8,18,2,"1,5",10,",43426","3,046297",241,"2,082988","27,385892",",66474","8,774158",,25,12,3,1,30,",319753","9,592593",229,"2,484716","91,266376",",794708","29,241087",,196,3,38,"4,236842","184,078947","1,202481","52,351472",32,"4,65625","201,5625","1,637408","70,865349",,133,81,8,"1,375","51,875",",447222","16,965278",47,"4,638298","209,787234","1,406168","63,376392",,76,1,4,1,30,",35","10,5",188,"1,893617","127,180851",",605367","40,646637",,7,15,66,"1,015152",60,",317619","18,82144",181,"2,038674","106,519337",",662748","34,633854",,15,213,1,1,60,",269231","16,153846",40,2,"104,625",",691437","36,169189",,2,3,10,"18,2","240,5","5,376051","69,413003",254,"21,149606","498,641732","6,659334","156,841609",,126,128,10,"4,1",126,"1,459706","44,841177",5,"6,8",216,"2,163747","68,023529",,,13,34,"3,176471","75,441176",",998895","23,123964",222,"4,621622","138,198198","1,478335","44,10319",,,,19,"34,315789","1029,473684","10,954776","328,643275",250,"50,324","1561,26","15,8603","491,83334",
1485324,510,3,,,,,,,507,"1,883629","42,337278",",650412","14,618743",,,,92,2,30,",695524","10,432867",418,"3,803828","105,239234","1,313075","36,332547",,408,18,13,"3,153846","152,307692","1,054387","50,834758",71,"4,619718","221,971831","1,602788","77,008452",,408,,20,1,45,",35","15,75",82,"1,902439","95,670732",",642043","32,380068",,381,,,,,,,129,"1,379845","118,139535",",474745","40,64642",,,2,19,"1,947368",60,",678529","20,908497",489,"3,582822","157,423313","1,237307","54,346779",,8,47,80,1,60,",3496","20,976024",375,"2,010667","102,08",",691973","35,139123",,5,168,63,"7,031746",200,"2,361366","67,430729",274,"18,569343","548,156934","6,418228","189,417755",,246,37,57,"4,298246","138,77193","1,454694","46,758165",170,"5,505882","197,176471","1,909136","68,429417",,2,23,128,"2,773438","71,953125",",961749","24,949897",357,"5,212885","126,638655","1,801023","43,685357",,,,4,32,960,"11,2",336,506,"60,666008","1820,217391","20,857067","625,79204",
1485325,316,,,,,,,,316,"2,585443","70,537975",",825063","22,404035",,,6,,,,,,310,"3,090323","104,370968",",98439","33,234189",,287,7,17,"4,941176","148,235294","1,615173","48,455194",5,"6,6",198,"2,15","64,5",,306,,,,,,,10,2,"119,5",",61713","36,916667",,226,,9,1,30,",342222","10,266667",81,"1,049383","92,592593",",331096","29,120577",,,,1,1,60,",35",21,315,"4,749206","163,047619","1,521706","52,24729",,,17,,,,,,299,"2,752508","123,862876",",882021","39,690922",,,4,86,"10,546512","264,302326","2,830843","70,959424",226,"12,331858","317,765487","4,051018","104,277337",,2,49,171,"5,187135","155,614035","1,601979","48,059377",94,"6,212766","192,765957","2,135798","65,728793",,2,99,214,"4,018692","60,514019","1,401024","21,075615",1,5,90,"1,75","31,5",,,5,95,"34,305263","1012,736842","10,675975","315,335589",216,"46,851852","1401,342593","14,743396","440,771938",
